Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784062861,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784062862,5,,Aggregated,0.000000,0.000000,150,150,150,270,270,270,270,270,270,270,270,5,0,150.0,150.40386002510786,66.720400005579,271.915000048466,564.2
1784062863,10,,Aggregated,0.000000,0.000000,150,170,170,250,270,340,340,340,340,340,340,14,0,150.0,159.97070715197228,66.720400005579,339.9051000014879,564.3571428571429
1784062864,15,,Aggregated,1.000000,0.000000,130,170,250,270,2000,2000,2000,2000,2000,2000,2000,30,0,110.0,322.25183150731027,19.445100042503327,2039.7017002105713,610.3666666666667
1784062865,20,,Aggregated,2.500000,0.000000,130,170,250,320,510,2000,2000,2000,2000,2000,2000,50,0,130.0,269.6085189061705,19.10520001547411,2039.7017002105713,503.92
1784062866,25,,Aggregated,5.333333,0.000000,130,180,270,320,510,950,2000,2000,2000,2000,2000,68,0,130.0,256.46830802040364,15.706400037743151,2039.7017002105713,469.55882352941177
1784062867,25,,Aggregated,7.750000,0.000000,160,270,340,410,690,2000,5100,5300,5300,5300,5300,95,0,160.0,377.3154966471913,15.706400037743151,5333.387851715088,451.3263157894737
1784062868,25,,Aggregated,10.200000,0.000000,150,280,330,360,700,2000,5200,5200,5300,5300,5300,129,0,150.0,466.49943619502653,15.706400037743151,5333.387851715088,444.85271317829455
1784062869,25,,Aggregated,11.500000,0.000000,150,270,330,360,660,2000,5100,5200,5300,5300,5300,156,0,150.0,417.2035715970336,9.881499980110675,5333.387851715088,412.2435897435897
1784062870,25,,Aggregated,13.857143,0.000000,140,270,320,350,550,950,5100,5200,5300,5300,5300,188,0,140.0,376.03058813367676,8.358100021723658,5333.387851715088,386.11170212765956
1784062871,25,,Aggregated,16.500000,0.000000,170,290,340,380,660,2000,8100,8300,8400,8400,8400,227,0,170.0,535.9826867421474,8.358100021723658,8361.448049545288,393.1453744493392
1784062872,25,,Aggregated,17.777778,0.000000,170,300,350,410,650,2000,5300,8300,8400,8400,8400,265,0,170.0,496.89553128379697,8.358100021723658,8361.448049545288,364.16603773584905
1784062873,25,,Aggregated,18.900000,0.000000,170,280,330,390,600,950,5200,8300,8400,8400,8400,308,0,170.0,451.84005094221914,8.358100021723658,8361.448049545288,341.288961038961
