Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784120862,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784120863,5,,Aggregated,0.000000,0.000000,110,170,170,210,210,210,210,210,210,210,210,5,0,110,127.16484819975449,36.936894999598735,212.48997600014263,533.6
1784120864,10,,Aggregated,0.000000,0.000000,110,120,170,180,210,230,230,230,230,230,230,13,0,110,114.75574253836385,27.32077800010302,227.20988699984446,541.8461538461538
1784120865,15,,Aggregated,4.000000,0.000000,120,170,230,240,2000,2000,2000,2000,2000,2000,2000,28,0,110,320.4447655799153,25.055486000383098,2038.8436317443848,623.8214285714286
1784120866,20,,Aggregated,4.500000,0.000000,100,170,230,250,2000,2000,2000,2000,2000,2000,2000,47,0,100,346.03713469908706,4.2403140005262685,2038.8436317443848,631.531914893617
1784120867,25,,Aggregated,6.666667,0.000000,110,180,220,250,510,2000,2000,2000,2000,2000,2000,69,0,110,284.96732650513667,3.376589999788848,2038.8436317443848,554.4492753623189
1784120868,30,,Aggregated,9.000000,0.000000,110,180,210,240,510,2000,4000,4000,4000,4000,4000,97,0,110,354.19958813659815,3.376589999788848,4023.205518722534,532.4742268041238
1784120869,35,,Aggregated,9.800000,0.000000,110,180,220,270,510,4000,4000,4100,4200,4200,4200,133,0,110,412.67139653561225,3.376589999788848,4235.275506973267,513.0375939849624
1784120870,40,,Aggregated,12.500000,0.000000,150,220,290,350,540,2000,4000,4100,4200,4200,4200,166,0,130,395.4674257785488,3.376589999788848,4235.275506973267,473.66265060240966
1784120871,45,,Aggregated,14.571429,0.000000,170,250,310,370,630,2000,4000,4100,4200,4200,4200,191,0,170,390.55607907453333,3.376589999788848,4235.275506973267,462.434554973822
1784120872,50,,Aggregated,17.125000,0.000000,210,320,490,610,1000,2000,4000,4100,7500,7500,7500,239,1,210,471.61313996635556,3.376589999788848,7490.626096725464,424.673640167364
1784120873,50,,Aggregated,19.222222,0.000000,240,450,610,690,1100,2000,4000,4200,7600,7600,7600,276,1,230,523.9198140743049,3.376589999788848,7602.919578552246,410.6992753623188
1784120874,50,,Aggregated,19.900000,0.000000,290,520,750,840,1400,4000,7800,7900,8200,8200,8200,318,1,290,728.722764419492,3.376589999788848,8209.022998809814,433.6635220125786
1784120875,50,,Aggregated,24.400000,0.100000,400,700,900,1000,1600,4000,8100,8300,8600,8600,8600,367,1,400,869.4512716028992,3.376589999788848,8622.366189956665,430.00272479564035
1784120876,50,,Aggregated,27.900000,0.100000,470,820,1000,1200,1700,4000,8100,8300,9400,9400,9400,414,1,460,929.5258894643038,3.376589999788848,9404.001235961914,421.39130434782606
1784120877,50,,Aggregated,30.600000,0.100000,500,880,1100,1200,1700,4000,8100,8600,9500,9500,9500,459,2,500,984.6106776739798,3.376589999788848,9480.737447738647,415.0108932461874
1784120878,50,,Aggregated,33.900000,0.100000,610,930,1200,1300,2000,4000,8500,9400,13000,13000,13000,516,4,600,1088.3822559881576,3.376589999788848,13335.509300231934,406.1046511627907
1784120879,50,,Aggregated,36.900000,0.100000,660,940,1100,1300,1800,4000,8300,9400,13000,13000,13000,582,6,650,1055.721068544485,3.376589999788848,13335.509300231934,381.3814432989691
1784120880,50,,Aggregated,39.600000,0.400000,670,950,1100,1300,1800,2600,8200,9100,13000,13000,13000,629,6,670,1038.371869969619,3.376589999788848,13335.509300231934,369.69634340222575
1784120881,50,,Aggregated,42.800000,0.500000,710,960,1200,1300,1800,2600,8500,10000,14000,14000,14000,679,7,710,1086.1072949066113,3.376589999788848,13655.7137966156,367.1561119293078
1784120882,50,,Aggregated,45.000000,0.600000,720,960,1100,1200,1700,2500,8300,9500,14000,14000,14000,729,9,720,1067.1589341763902,3.376589999788848,13655.7137966156,356.2496570644719
1784120883,50,,Aggregated,46.300000,0.600000,760,1000,1200,1300,1800,2600,9000,13000,16000,16000,16000,790,9,760,1156.2216284264005,3.376589999788848,15512.565612792969,355.39493670886077
1784120884,50,,Aggregated,48.500000,0.700000,790,1100,1200,1300,1900,4000,11000,14000,16000,16000,16000,861,9,790,1276.34655511128,3.376589999788848,15724.84827041626,356.49361207897795
1784120885,50,,Aggregated,49.500000,0.800000,800,1100,1200,1300,1900,4000,13000,15000,16000,16000,16000,917,9,800,1295.8038330192066,3.376589999788848,15724.84827041626,351.3064340239913
