Architecture,Concurrent Users,p50 (ms),p95 mean (ms),p95 median (ms),p95 min (ms),p95 max (ms),p99 (ms),Throughput (req/s),Failure Rate (%),Request Count,Repeats
No XAI,1,10,20,18,15,32,25,0.53,0.0,153,5
No XAI,5,10,24,22,21,29,46,2.55,0.0,750,5
No XAI,10,10,22,22,18,26,41,5.06,0.0,1493,5
No XAI,25,10,28,29,23,31,50,12.22,0.0,3604,5
No XAI,50,11,33,32,28,38,63,23.27,0.0,6870,5
Synch XAI,1,226,894,830,700,1300,1138,0.44,0.0,128,5
Synch XAI,5,394,2020,1900,1700,2400,2540,1.99,0.0,586,5
Synch XAI,10,1078,4380,4500,3900,4900,6340,2.86,0.0,841,5
Synch XAI,25,4800,16600,18000,14000,19000,21400,2.72,0.0,799,5
Synch XAI,50,10360,30000,30000,30000,30000,30000,2.69,10.7,782,5
Asynch XAI,1,17,28,26,19,42,33,0.5,0.0,147,5
Asynch XAI,5,21,52,53,49,54,103,2.49,0.0,734,5
Asynch XAI,10,39,93,93,89,99,6112,4.65,0.3,1372,5
Asynch XAI,25,88,5860,310,200,28000,6418,8.45,0.6,2498,5
Asynch XAI,50,718,7660,2100,2000,30000,23720,12.59,5.7,3717,5
