Architecture,Concurrent Users,p50 (ms),p95 mean (ms),p95 median (ms),p95 min (ms),p95 max (ms),p99 (ms),Throughput (req/s),Failure Rate (%),Request Count,Repeats
No XAI,1,140,583,680,190,880,1000,0.45,0.0,77,3
No XAI,5,147,323,280,270,420,653,2.42,0.0,420,3
No XAI,10,360,1110,1000,830,1500,1467,4.09,0.0,704,3
No XAI,25,1567,4500,4400,4000,5100,5700,6.29,0.0,1103,3
No XAI,50,4133,9733,9600,9600,10000,10000,6.72,7.5,1181,3
Synch XAI,1,13000,14000,14000,13000,15000,14000,0.07,0.0,11,3
Synch XAI,5,43667,44000,50000,29000,53000,44000,0.06,0.0,7,3
Synch XAI,10,34333,36667,39000,31000,40000,36667,0.1,66.7,15,3
Synch XAI,25,42333,43000,38000,36000,55000,43000,0.05,0.0,7,3
Synch XAI,50,47667,47667,49000,41000,53000,47667,0.06,55.6,9,3
Asynch XAI,1,430,10407,720,500,30000,10527,0.33,1.8,57,3
Asynch XAI,5,457,993,1100,780,1100,1500,2.03,0.0,353,3
Asynch XAI,10,870,1800,1700,1700,2000,2533,3.36,0.0,589,3
Asynch XAI,25,4033,9733,9700,9500,10000,12000,3.51,0.0,613,3
Asynch XAI,50,7400,24000,23000,21000,28000,28667,3.59,1.4,628,3
