Architecture,Concurrent Users,p50 (ms),p95 (ms),p99 (ms),Throughput (req/s),Failure Rate (%),Request Count,Repeats
No XAI,1,140,583,1000,0.45,0.0,77,3
No XAI,5,146,323,653,2.42,0.0,420,3
No XAI,10,360,1110,1466,4.09,0.0,704,3
No XAI,25,1566,4500,5700,6.29,0.0,1103,3
No XAI,50,4133,9733,10000,6.72,7.5,1181,3
Synch XAI,1,13000,14000,14000,0.07,0.0,11,3
Synch XAI,5,43666,44000,44000,0.06,0.0,7,3
Synch XAI,10,34333,36666,36666,0.1,66.7,15,3
Synch XAI,25,42333,43000,43000,0.05,0.0,7,3
Synch XAI,50,47666,47666,47666,0.06,55.6,9,3
Asynch XAI,1,430,10406,10526,0.33,1.8,57,3
Asynch XAI,5,456,993,1500,2.03,0.0,353,3
Asynch XAI,10,870,1800,2533,3.36,0.0,589,3
Asynch XAI,25,4033,9733,12000,3.51,0.0,613,3
Asynch XAI,50,7400,24000,28666,3.59,1.4,628,3
